IMG,ID,Pred,GT
bleeding.2.jpg,2,1,0
bleeding.70.jpg,70,1,0
bleeding.64.jpg,64,1,0
bleeding.58.jpg,58,1,0
bleeding.109.jpg,109,0,0
bleeding.121.jpg,121,0,0
bleeding.135.jpg,135,0,0
bleeding.134.jpg,134,0,0
bleeding.120.jpg,120,0,0
bleeding.108.jpg,108,0,0
bleeding.59.jpg,59,1,0
bleeding.65.jpg,65,1,0
bleeding.71.jpg,71,1,0
bleeding.3.jpg,3,1,0
bleeding.1.jpg,1,1,0
bleeding.98.jpg,98,0,0
bleeding.67.jpg,67,1,0
bleeding.73.jpg,73,1,0
bleeding.136.jpg,136,0,0
bleeding.122.jpg,122,0,0
bleeding.123.jpg,123,0,0
bleeding.137.jpg,137,0,0
bleeding.72.jpg,72,1,0
bleeding.66.jpg,66,1,0
bleeding.99.jpg,99,0,0
bleeding.89.jpg,89,0,0
bleeding.4.jpg,4,1,0
bleeding.62.jpg,62,1,0
bleeding.76.jpg,76,1,0
bleeding.133.jpg,133,0,0
bleeding.127.jpg,127,1,0
bleeding.126.jpg,126,1,0
bleeding.132.jpg,132,1,0
bleeding.77.jpg,77,1,0
bleeding.63.jpg,63,1,0
bleeding.5.jpg,5,1,0
bleeding.88.jpg,88,0,0
bleeding.7.jpg,7,1,0
bleeding.49.jpg,49,0,0
bleeding.75.jpg,75,1,0
bleeding.61.jpg,61,1,0
bleeding.124.jpg,124,0,0
bleeding.130.jpg,130,0,0
bleeding.118.jpg,118,0,0
bleeding.119.jpg,119,0,0
bleeding.131.jpg,131,0,0
bleeding.125.jpg,125,0,0
bleeding.60.jpg,60,1,0
bleeding.74.jpg,74,1,0
bleeding.48.jpg,48,0,0
bleeding.6.jpg,6,1,0
bleeding.13.jpg,13,0,0
bleeding.142.jpg,142,0,0
bleeding.156.jpg,156,0,0
bleeding.181.jpg,181,0,0
bleeding.195.jpg,195,0,0
bleeding.194.jpg,194,0,0
bleeding.180.jpg,180,0,0
bleeding.157.jpg,157,1,0
bleeding.143.jpg,143,0,0
bleeding.12.jpg,12,1,0
bleeding.10.jpg,10,1,0
bleeding.38.jpg,38,1,0
bleeding.169.jpg,169,1,0
bleeding.155.jpg,155,0,0
bleeding.141.jpg,141,0,0
bleeding.196.jpg,196,0,0
bleeding.182.jpg,182,0,0
bleeding.183.jpg,183,0,0
bleeding.197.jpg,197,0,0
bleeding.140.jpg,140,0,0
bleeding.154.jpg,154,0,0
bleeding.168.jpg,168,1,0
bleeding.39.jpg,39,0,0
bleeding.11.jpg,11,1,0
bleeding.29.jpg,29,0,0
bleeding.15.jpg,15,1,0
bleeding.150.jpg,150,0,0
bleeding.144.jpg,144,1,0
bleeding.178.jpg,178,0,0
bleeding.193.jpg,193,0,0
bleeding.187.jpg,187,0,0
bleeding.186.jpg,186,0,0
bleeding.192.jpg,192,0,0
bleeding.179.jpg,179,0,0
