IMG,ID,Pred,GT
bleeding.2.jpg,a002,1,0
bleeding.70.jpg,a070,0,0
bleeding.64.jpg,a064,0,0
bleeding.58.jpg,a058,1,0
bleeding.109.jpg,a109,0,0
bleeding.121.jpg,a121,0,0
bleeding.135.jpg,a135,1,0
bleeding.134.jpg,a134,1,0
bleeding.120.jpg,a120,0,0
bleeding.108.jpg,a108,0,0
bleeding.59.jpg,a059,1,0
bleeding.65.jpg,a065,0,0
bleeding.71.jpg,a071,0,0
bleeding.3.jpg,a003,1,0
bleeding.1.jpg,a001,1,0
bleeding.98.jpg,a098,0,0
bleeding.67.jpg,a067,0,0
bleeding.73.jpg,a073,0,0
bleeding.136.jpg,a136,0,0
bleeding.122.jpg,a122,0,0
bleeding.123.jpg,a123,1,0
bleeding.137.jpg,a137,0,0
bleeding.72.jpg,a072,0,0
bleeding.66.jpg,a066,0,0
bleeding.99.jpg,a099,0,0
bleeding.89.jpg,a089,0,0
bleeding.4.jpg,a004,1,0
bleeding.62.jpg,a062,1,0
bleeding.76.jpg,a076,1,0
bleeding.133.jpg,a133,1,0
bleeding.127.jpg,a127,1,0
bleeding.126.jpg,a126,1,0
bleeding.132.jpg,a132,1,0
bleeding.77.jpg,a077,1,0
bleeding.63.jpg,a063,0,0
bleeding.5.jpg,a005,0,0
bleeding.88.jpg,a088,0,0
bleeding.7.jpg,a007,0,0
bleeding.49.jpg,a049,0,0
bleeding.75.jpg,a075,1,0
bleeding.61.jpg,a061,1,0
bleeding.124.jpg,a124,1,0
bleeding.130.jpg,a130,1,0
bleeding.118.jpg,a118,0,0
bleeding.119.jpg,a119,0,0
bleeding.131.jpg,a131,1,0
bleeding.125.jpg,a125,1,0
bleeding.60.jpg,a060,1,0
bleeding.74.jpg,a074,1,0
bleeding.48.jpg,a048,0,0
bleeding.6.jpg,a006,1,0
bleeding.13.jpg,a013,0,0
bleeding.142.jpg,a142,0,0
bleeding.156.jpg,a156,0,0
bleeding.181.jpg,a181,0,0
bleeding.195.jpg,a195,0,0
bleeding.194.jpg,a194,0,0
bleeding.180.jpg,a180,0,0
bleeding.157.jpg,a157,0,0
bleeding.143.jpg,a143,0,0
bleeding.12.jpg,a012,0,0
bleeding.10.jpg,a010,0,0
bleeding.38.jpg,a038,1,0
bleeding.169.jpg,a169,1,0
bleeding.155.jpg,a155,0,0
bleeding.141.jpg,a141,0,0
bleeding.196.jpg,a196,0,0
bleeding.182.jpg,a182,0,0
bleeding.183.jpg,a183,0,0
bleeding.197.jpg,a197,0,0
bleeding.140.jpg,a140,1,0
bleeding.154.jpg,a154,0,0
bleeding.168.jpg,a168,1,0
bleeding.39.jpg,a039,1,0
bleeding.11.jpg,a011,1,0
bleeding.29.jpg,a029,0,0
bleeding.15.jpg,a015,1,0
bleeding.150.jpg,a150,0,0
bleeding.144.jpg,a144,0,0
bleeding.178.jpg,a178,0,0
bleeding.193.jpg,a193,0,0
bleeding.187.jpg,a187,0,0
bleeding.186.jpg,a186,0,0
bleeding.192.jpg,a192,0,0
bleeding.179.jpg,a179,0,0
bleeding.145.jpg,a145,0,0
bleeding.151.jpg,a151,0,0
bleeding.14.jpg,a014,0,0
bleeding.28.jpg,a028,0,0
bleeding.16.jpg,a016,0,0
bleeding.147.jpg,a147,0,0
bleeding.153.jpg,a153,0,0
bleeding.184.jpg,a184,0,0
bleeding.190.jpg,a190,0,0
bleeding.191.jpg,a191,0,0
bleeding.185.jpg,a185,0,0
bleeding.152.jpg,a152,0,0
bleeding.146.jpg,a146,0,0
bleeding.17.jpg,a017,1,0
bleeding.32.jpg,a032,0,0
bleeding.26.jpg,a026,1,0
bleeding.201.jpg,a201,0,0
bleeding.163.jpg,a163,1,0
bleeding.177.jpg,a177,0,0
bleeding.188.jpg,a188,0,0
bleeding.189.jpg,a189,0,0
bleeding.176.jpg,a176,0,0
bleeding.162.jpg,a162,1,0
bleeding.200.jpg,a200,0,0
bleeding.27.jpg,a027,1,0
bleeding.33.jpg,a033,0,0
bleeding.25.jpg,a025,1,0
